RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_DURATION,CURRENT_FIX_PUPIL,CURRENT_FIX_START,CURRENT_FIX_END,CURRENT_FIX_X,CURRENT_FIX_Y,EYE_USED,NEXT_SAC_DURATION,TRIAL_FIXATION_TOTAL,TRIAL_START_TIME,VIDEO_FRAME_INDEX_START,VIDEO_NAME_START,IP_START_TIME,IP_END_TIME,__duration__1
Brendan,1,324,464,4,324,363,337,RIGHT,32,189,9682126,.,HandS.mp4,9682126,9753247,71000
Brendan,1,1248,296,360,1604,298.1,265.3,RIGHT,28,189,9682126,8,HandS.mp4,9682126,9753247,71000
Brendan,1,1076,266,1636,2708,289.5,203.6,RIGHT,28,189,9682126,47,HandS.mp4,9682126,9753247,71000
Brendan,1,312,271,2740,3048,221.2,317.3,RIGHT,36,189,9682126,80,HandS.mp4,9682126,9753247,71000
Brendan,1,636,273,3088,3720,217.6,481,RIGHT,24,189,9682126,90,HandS.mp4,9682126,9753247,71000
Brendan,1,336,259,3748,4080,268.9,530.7,RIGHT,68,189,9682126,110,HandS.mp4,9682126,9753247,71000
Brendan,1,392,246,4152,4540,592.1,176.6,RIGHT,28,189,9682126,122,HandS.mp4,9682126,9753247,71000
Brendan,1,196,244,4572,4764,652.7,264.8,RIGHT,28,189,9682126,135,HandS.mp4,9682126,9753247,71000
Brendan,1,144,248,4796,4936,540.3,302.8,RIGHT,32,189,9682126,141,HandS.mp4,9682126,9753247,71000
Brendan,1,280,258,4972,5248,475.5,363.9,RIGHT,28,189,9682126,147,HandS.mp4,9682126,9753247,71000
Brendan,1,276,255,5280,5552,538.6,462.3,RIGHT,32,189,9682126,156,HandS.mp4,9682126,9753247,71000
Brendan,1,244,245,5588,5828,594.7,551.4,RIGHT,52,189,9682126,165,HandS.mp4,9682126,9753247,71000
Brendan,1,148,258,5884,6028,256.4,520.8,RIGHT,56,189,9682126,174,HandS.mp4,9682126,9753247,71000
Brendan,1,204,239,6088,6288,728.1,550.2,RIGHT,32,189,9682126,180,HandS.mp4,9682126,9753247,71000
Brendan,1,288,234,6324,6608,822.4,419,RIGHT,32,189,9682126,187,HandS.mp4,9682126,9753247,71000
Brendan,1,252,235,6644,6892,912.5,379,RIGHT,28,189,9682126,197,HandS.mp4,9682126,9753247,71000
Brendan,1,300,230,6924,7220,1031.3,282.5,RIGHT,76,189,9682126,205,HandS.mp4,9682126,9753247,71000
Brendan,1,140,245,7300,7436,169.7,461.6,RIGHT,28,189,9682126,216,HandS.mp4,9682126,9753247,71000
Brendan,1,76,243,7468,7540,217.9,368.6,RIGHT,32,189,9682126,221,HandS.mp4,9682126,9753247,71000
Brendan,1,248,235,7576,7820,315.1,289.5,RIGHT,52,189,9682126,225,HandS.mp4,9682126,9753247,71000
Brendan,1,164,226,7876,8036,654.2,266.9,RIGHT,56,189,9682126,234,HandS.mp4,9682126,9753247,71000
Brendan,1,316,227,8096,8408,328.9,158,RIGHT,16,189,9682126,240,HandS.mp4,9682126,9753247,71000
Brendan,1,592,227,8428,9016,310,144.1,RIGHT,24,189,9682126,250,HandS.mp4,9682126,9753247,71000
Brendan,1,540,227,9044,9580,381.2,158.8,RIGHT,52,189,9682126,269,HandS.mp4,9682126,9753247,71000
Brendan,1,272,225,9636,9904,661.1,284.1,RIGHT,24,189,9682126,287,HandS.mp4,9682126,9753247,71000
Brendan,1,212,227,9932,10140,621.1,264.1,RIGHT,20,189,9682126,295,HandS.mp4,9682126,9753247,71000
Brendan,1,192,221,10164,10352,650.5,280.3,RIGHT,32,189,9682126,302,HandS.mp4,9682126,9753247,71000
Brendan,1,576,219,10388,10960,589.6,160,RIGHT,28,189,9682126,309,HandS.mp4,9682126,9753247,71000
Brendan,1,224,221,10992,11212,633.8,243.2,RIGHT,424,189,9682126,327,HandS.mp4,9682126,9753247,71000
Brendan,1,188,222,11640,11824,678.6,116.1,RIGHT,472,189,9682126,347,HandS.mp4,9682126,9753247,71000
Brendan,1,112,225,12300,12408,688.7,55.8,RIGHT,684,189,9682126,366,HandS.mp4,9682126,9753247,71000
Brendan,1,60,232,13096,13152,496,75.5,RIGHT,1128,189,9682126,390,HandS.mp4,9682126,9753247,71000
Brendan,1,536,195,14284,14816,668.6,117.7,RIGHT,32,189,9682126,426,HandS.mp4,9682126,9753247,71000
Brendan,1,404,203,14852,15252,635.2,275.5,RIGHT,48,189,9682126,443,HandS.mp4,9682126,9753247,71000
Brendan,1,336,203,15304,15636,458.5,64.5,RIGHT,40,189,9682126,457,HandS.mp4,9682126,9753247,71000
Brendan,1,520,213,15680,16196,653.2,120.6,RIGHT,52,189,9682126,468,HandS.mp4,9682126,9753247,71000
Brendan,1,420,266,16252,16668,431.5,188.6,RIGHT,128,189,9682126,485,HandS.mp4,9682126,9753247,71000
